apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Mar/29,Zwart,Stroom,,Alfa,16,Romeo Junior,,207,48725,Autobedrijf,Automatisch,1589,Mar/25,5
,Rood,Benzine,Ja,Alfa,138795,Romeo Spider,,110,6950,Particulier,Handgeschakeld,1297,Jun/96,0
,Grijs,Benzine,Ja,Alfa,109000,Romeo GTV,2,114,6499,Particulier,Handgeschakeld,,Mar/99,0
,Blauw,Benzine,Ja,Alfa,193000,Romeo 145,2,107,3499,Autobedrijf,Handgeschakeld,1175,Jun/00,0
Jul/25,Zwart,Benzine,Ja,Alfa,114604,Romeo 155,,137,19900,Autobedrijf,Handgeschakeld,1430,Feb/95,0
Sep/25,Rood,Benzine,,Alfa,325733,Romeo 155,,120,5000,Autobedrijf,Handgeschakeld,1321,May/96,0
Aug/25,Rood,Benzine,Ja,Alfa,204485,Romeo GTV,1,110,3990,Autobedrijf,Handgeschakeld,1288,May/96,5
Mar/26,Blauw,Benzine,,Alfa,164900,Romeo Spider,4,114,6499,Particulier,Handgeschakeld,1345,Mar/00,5
,Rood,Benzine,,Alfa,104000,Romeo 155,,120,15200,Particulier,Handgeschakeld,,Dec/95,0
,Rood,Benzine,,Alfa,1,Romeo 156,,114,39950,Autobedrijf,,,Jan/97,0
Nov/25,Blauw,Benzine,Ja,Alfa,89029,Romeo 145,2,88,1950,Particulier,Handgeschakeld,1160,Jan/00,0
,Grijs,Benzine,Ja,Alfa,140520,Romeo Spider,4,110,5495,Autobedrijf,Handgeschakeld,1297,Jan/97,0
,Zwart,Super Plus 98,,Alfa,190000,Romeo 147,,96,1800,Particulier,Handgeschakeld,1200,Jan/99,0
Nov/25,Blauw,Benzine,Ja,Alfa,186106,Romeo 166,5,140,5950,Autobedrijf,Automatisch,1495,Aug/99,0
,Rood,Benzine,Ja,Alfa,25563,Romeo Giulia,,375,89500,Autobedrijf,Automatisch,1595,May/23,0
Apr/26,Blauw,Benzine,Ja,Alfa,113973,Romeo GTV,1,162,15000,Particulier,Handgeschakeld,1390,Jul/97,0
Nov/25,Zwart,Benzine,,Alfa,93220,Romeo MiTo,2,99,9950,Autobedrijf,Automatisch,1145,Mar/13,0
